text,category
Hospitals face shortage of staff during winter surge.,Health
TV series 'Action Hero' renewed for another season.,Entertainment
Government releases new fiscal budget for the upcoming year.,Business
Yoga and meditation help reduce stress levels.,Health
Economy grows at a slower pace in the third quarter.,Business
Global trade deficit widens as exports slow down.,Business
Regular check-ups can detect cancer at an early stage.,Health
Economy grows at a slower pace in the third quarter.,Business
Unemployment rate drops to a historic low.,Business
Study confirms the benefits of a Mediterranean diet for heart health.,Health
Economy grows at a slower pace in the third quarter.,Business
Yoga and meditation help reduce stress levels.,Health
New guidelines released for blood pressure management.,Health
Global health organization declares end of emergency.,Health
Music festival lineup reveals top headliners for this summer.,Entertainment
Pop star Beyonce announces a new world tour.,Entertainment
Mental health awareness campaign launches nationwide.,Health
Researchers discover link between sleep and memory retention.,Health
Stocks for RetailGiant rose by 12% today following positive earnings.,Business
Director Cameron working on a sequel to the sci-fi hit.,Entertainment
Stocks for FinBank rose by 13% today following positive earnings.,Business
Doctors warn about a new strain of flu spreading rapidly.,Health
Housing market cools down as mortgage rates climb.,Business
Investors are cautious ahead of the Fed meeting.,Business
Actor Leonardo DiCaprio to star in upcoming superhero movie.,Entertainment
Director Cameron working on a sequel to the sci-fi hit.,Entertainment
Actor Brad Pitt to star in upcoming superhero movie.,Entertainment
Study confirms the benefits of a Mediterranean diet for heart health.,Health
New vaccine shows promise in early clinical trials.,Health
Doctors warn about a new strain of flu spreading rapidly.,Health
Cryptocurrency markets see high volatility this week.,Business
Study confirms the benefits of a Mediterranean diet for heart health.,Health
Gaming convention attracts thousands of fans worldwide.,Entertainment
Regular check-ups can detect cancer at an early stage.,Health
Market analysts predict a bullish trend for the finance sector.,Business
Cryptocurrency markets see high volatility this week.,Business
Critics praise the cinematography in the latest blockbuster.,Entertainment
Pop star Adele announces a new world tour.,Entertainment
Cryptocurrency markets see high volatility this week.,Business
Advances in gene therapy offer hope for rare diseases.,Health
Tech startups are attracting record venture capital investment.,Business
Theatre production of classic play receives standing ovation.,Entertainment
Advances in gene therapy offer hope for rare diseases.,Health
Oil prices surge amid geopolitical tensions.,Business
Doctors warn about a new strain of flu spreading rapidly.,Health
Government releases new fiscal budget for the upcoming year.,Business
Gaming convention attracts thousands of fans worldwide.,Entertainment
Actor Jennifer Lawrence to star in upcoming superhero movie.,Entertainment
Director Tarantino working on a sequel to the sci-fi hit.,Entertainment
New movie 'The Last Journey' breaks box office records on opening weekend.,Entertainment
Viral video challenge takes over the internet.,Entertainment
Streaming services battle for dominance with exclusive content.,Entertainment
Music festival lineup reveals top headliners for this summer.,Entertainment
Yoga and meditation help reduce stress levels.,Health
Market analysts predict a bullish trend for the healthcare sector.,Business
Viral video challenge takes over the internet.,Entertainment
Viral video challenge takes over the internet.,Entertainment
Stocks for AutoMotive rose by 3% today following positive earnings.,Business
Mental health awareness campaign launches nationwide.,Health
Global health organization declares end of emergency.,Health
Gaming convention attracts thousands of fans worldwide.,Entertainment
The central bank announced a new policy to combat inflation.,Business
gold prices remain stable despite market fluctuations.,Business
Viral video challenge takes over the internet.,Entertainment
Tech startups are attracting record venture capital investment.,Business
Director Tarantino working on a sequel to the sci-fi hit.,Entertainment
Critics praise the cinematography in the latest blockbuster.,Entertainment
New movie 'The Last Journey' breaks box office records on opening weekend.,Entertainment
New movie 'Mystery Mansion' breaks box office records on opening weekend.,Entertainment
Vitamin D deficiency linked to immune system weakness.,Health
Critics praise the cinematography in the latest blockbuster.,Entertainment
Stocks for AutoMotive rose by 1% today following positive earnings.,Business
Music festival lineup reveals top headliners for this summer.,Entertainment
Vitamin D deficiency linked to immune system weakness.,Health
Global health organization declares end of emergency.,Health
Viral video challenge takes over the internet.,Entertainment
New guidelines released for blood pressure management.,Health
Study confirms the benefits of a Mediterranean diet for heart health.,Health
New merger announced between AutoMotive and TechCorp.,Business
Doctors warn about a new strain of flu spreading rapidly.,Health
Nutritional supplements market sees significant growth.,Health
New merger announced between RetailGiant and FinBank.,Business
New merger announced between GlobalInd and GlobalInd.,Business
gold prices remain stable despite market fluctuations.,Business
New guidelines released for blood pressure management.,Health
Economy grows at a slower pace in the third quarter.,Business
Advances in gene therapy offer hope for rare diseases.,Health
Researchers discover link between sleep and memory retention.,Health
New album from Taylor Swift tops the charts.,Entertainment
Researchers discover link between sleep and memory retention.,Health
Investors are cautious ahead of the Fed meeting.,Business
New album from Ed Sheeran tops the charts.,Entertainment
Government releases new fiscal budget for the upcoming year.,Business
Celebrity couple announces engagement on social media.,Entertainment
Government releases new fiscal budget for the upcoming year.,Business
Economy grows at a slower pace in the third quarter.,Business
Global trade deficit widens as exports slow down.,Business
TV series 'The Last Journey' renewed for another season.,Entertainment
Study confirms the benefits of a Mediterranean diet for heart health.,Health
Housing market cools down as mortgage rates climb.,Business
Doctors warn about a new strain of flu spreading rapidly.,Health
Tech startups are attracting record venture capital investment.,Business
New album from Taylor Swift tops the charts.,Entertainment
Director Cameron working on a sequel to the sci-fi hit.,Entertainment
Pop star Drake announces a new world tour.,Entertainment
New guidelines released for blood pressure management.,Health
New movie 'Star Battle' breaks box office records on opening weekend.,Entertainment
Study confirms the benefits of a Mediterranean diet for heart health.,Health
Leonardo DiCaprio wins best actor award at the annual film festival.,Entertainment
Theatre production of classic play receives standing ovation.,Entertainment
Researchers discover link between sleep and memory retention.,Health
New merger announced between GlobalInd and AutoMotive.,Business
Advances in gene therapy offer hope for rare diseases.,Health
Tech startups are attracting record venture capital investment.,Business
Advances in gene therapy offer hope for rare diseases.,Health
Researchers discover link between sleep and memory retention.,Health
New album from Ed Sheeran tops the charts.,Entertainment
Oil prices surge amid geopolitical tensions.,Business
Economy grows at a slower pace in the third quarter.,Business
Investors are cautious ahead of the Fed meeting.,Business
